ID,Comentario de Cliente,temática
3,@lider_cl  compré un producto y debía estar para el 21 de dic en retiro y aún no pasa nada. He llamado infinitas veces al call center y no tengo respuesta,Reclamo de entrega de producto.
10,Los horarios que tienen en su pagina estan actualizados?? Cierran a las 21.00 en la mayoria de los lugares?,"
Horarios de apertura y cierre de Wallmart."
11,"Hoy fui a retirar lo que compre por lider.cl y no llego lo que habia solicitado, llego otra cosa, mas encima tuve que llamar para pedir la devolución o para que llegue el producto correcto. Deberian ustedes realizar esa gestión en tienda.Espero tener pronto una solución al problema.","
Gestión de devoluciones en Wallmart."
16,"Buenísimos los productos Great value, he buscado las salsas para condimentar las ensaladas en el líder de vespucio (Maipu) y nunca más llegaron 😭","
Disponibilidad de productos de Wallmart."
17,@LIDERcl llevo 1 MES esperando una respuesta por una devolución de dinero!!!!! He llamado prácticamente todos los d… https://t.co/xykRxAocwA,"
Devolución de dinero."
19,Hola realice una compra hace más de un mes y es fecha q no me llega ni tengo una solución sers q me pueden ayudar?,"
Solución de problemas de entrega de compras."
22,Hola escribo por una compra q nunca recibí la realice el día 6 de diciembre de 2021 número de reclamo 3970326 número de orden 50020248884 es el número de compra,"
Reclamo de una compra no recibida."
31,"Felicitar a @LIDERcl por agendar 4 veces la entrega   del producto comprado y llegar al día siguiente. Además de la impunidad que tiene, al no cumplir con sus clientes y no responder a los reclamos en @SERNAC","
Reclamo por falta de cumplimiento de entregas por parte de Lider."
33,"Necesito mi producto ya. Lleva una semana de retraso y no llega nada aún, y por mas que llamo no me dan solucion","

Retraso de entrega de producto."
35,@LIDERcl pésima atención en lo que respecta a servicio al cliente. Tuve que poner un reclamo en el SERNAC para que me devolvieran las $400.000 aprox que me debían por no tener stock de sus productos y aún así tenerlos en su página. Ahí recién se demoraron 4 días en responder.,"
Servicio al cliente."
37,"Hola tengo el número de reclamo 3871748. Hice una compra aprox el 6 de diciembre de la oferta de detergente líquido Ariel de 3 litros cada uno, el cobro de hizo por los 2 pero llegó solo uno, de ahí que estoy esperando la devolución del dinero , he llamado 4 veces a servicio al cliente y la única solución fue poner un número de reclamo e insistir para que se comuniquen conmigo pero nadie me ha dado alguna solución, es primera vez que se demoran tanto en hacerme la devolución","
Devolución de dinero por un producto comprado en Wallmart."
39,"Impresentable, @LIDERcl de Gral Velázquez, Estación Central, anuncia reducción de horario de atención de 10:30 a 17 hrs. Un descaro considerando que otros supermercados de la misma cadena cierran mucho mas tarde en comunas de mas privilegios@SERNAC @muniecentral @OdecuChile","

Descontento por la reducción de horario de atención de un supermercado LIDER en Estación Central."
39,"Impresentable, @LIDERcl de Gral Velázquez, Estación Central, anuncia reducción de horario de atención de 10:30 a 17 hrs. Un descaro considerando que otros supermercados de la misma cadena cierran mucho mas tarde en comunas de mas privilegios@SERNAC @muniecentral @OdecuChile","

La reducción de horario de atención de un supermercado de la cadena LIDER en una comuna de menor privilegio."
41,Compre por líder el 8 de enero y aun no llega mi pedido 😡. Cuánto tiempo tengo que esperar para que llegue mi pedido? Pésima experiencia con líder,"
Experiencia con el servicio de entrega de Líder."
45,"@LIDERcl Estoy muy decepcionada, pues desde el 17-12-2021 estoy esperando me devuelvan el dinero de la cancelación compra Nº 3009701047!","
Devolución de dinero por cancelación de compra."
47,"Holaaaa Quería saber como puedo reclamar por una bolsa de pan Convida que compre en líder expresas de Viña del Mar y salio con hongos y un olor fétido?? No tengo la boleta ya que mi madre la boto, pago con redcompra A quien le reclamo??? Quien responde por el producto??","
Reclamo de producto comprado."
50,"Hola! El día sábado realice un pedido por la app Lider, compre 6 espumantes riccadonna los cuales nunca llegaron, el pedido fue realizado, me llamo la chica que lo estaba haciendo, todo ok. El gran problema es que nunca llego. Saludos","
Problema de entrega de pedido."
51,@LIDERcl cómo hago efectivo el despacho gratis? porque no está siendo automático en la web,"

Cómo hacer efectivo el despacho gratis en la web de Wallmart."
53,"Se demoran mucho en entregar , yo compré  el Sábado y aun no me llega el pedido. Decía entrega para el otro día  por eso compré  pero nada.","
Demora en entrega de pedido."
54,"@LIDERcl Hice una compra que debía llegar el 30 de diciembre... Nunca me llegó supermercado líder aún no me hace devolución de mi dinero .. siento que fui robada, estafada.. ya estamos a 17 y aún no se comunican conmigo a pesar de estar llamando todas las semanas. Así se hacen millonarios @pablomomtt @LIDERcl A mí me pasó lo mismo ... Mi pedido nunca llegó y no me quieren devolver la plata... Súper mala experiencia.. supermercado líder me robo","
Mala experiencia con el servicio de entrega de Supermercado Líder."
